candidate_rank	word	combined_equal_corpus_ppm	hkcancor_count	cantomap_count	attested_both_spoken_corpora	cross_corpus_balance	hkcancor_top_pos	hkcancor_pos_counts	hkcancor_proper_like_share	hkcancor_jyutping_counts	cantomap_top_pos	cantomap_pos_counts	cantomap_jyutping_counts	cifu_top2000	cifu_rank	known_invalid_atomic	rime_present	rime_readings_compact	rime_source_files	review_flags	expert_status	expert_note
199	喂	690.622038	161	7	true	0.055219	e	e:159|y:1|y1:1	0.000000	wai3:157|wai2:4	e	e:7	wai3:6|wai6:1	true	133	false	true	wai2|wai3|wai6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
200	唔好	682.541942	79	70	true	0.888613	vu	vu:78|v:1	0.000000	m4hou2:79	vu	vu:70	m4hou2:70	true	102	false	true	m4hou2	jyut6ping3.words.dict.yaml	negated_sequence	unreviewed	
201	右面	681.494331	0	132	false	0.000000			0.000000		f	f:78|n:51|x:2|ns:1	jau6min6:132	true	242	false	true	jau6min6	jyut6ping3.words.dict.yaml	single_corpus_signal	unreviewed	
202	返去	679.093364	21	115	true	0.143782	v	v:21	0.000000	faan1heoi3:21	v	v:115	faan1heoi3:115	true	234	true	true	faan1heoi3	jyut6ping3.words.dict.yaml	known_invalid_atomic|directional_chain	unreviewed	
203	唔使	674.772629	119	37	true	0.394885	vu	vu:113|v:6	0.000000	m4sai2:119	vu	vu:37	m4sai2:37	true	186	false	true	m4sai2	jyut6ping3.words.dict.yaml	negated_sequence	unreviewed	
204	成日	672.938072	163	2	true	0.015583	d	d:162|t:1	0.000000	seng4jat6:163	d	d:2	sing4jat6:2	true	170	false	true	seng4jat6|sing4jat6	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
208	繞	645.354480	0	125	false	0.000000			0.000000		v	v:103|a:10|n:9|p:1|f:1|Ng:1	jiu5:123|liu2:2	true	520	false	true	jiu2|jiu5	jyut6ping3.chars.dict.yaml	single_corpus_signal	unreviewed	
212	鍾意	613.059200	147	3	true	0.025919	v	v:147	0.000000	zung1ji3:147	v	v:3	zung1ji3:3	true	202	false	true	zung1ji3	jyut6ping3.words.dict.yaml	domain_concentration_signal	unreviewed	
213	搵𡃁園	609.214629	0	118	false	0.000000			0.000000		n	n:93|v:15|x:4|ns:3|nt:1|a:1|Nsg:1	wan2leng1jyun4:118	false		false	false			single_corpus_signal|rime_absent	unreviewed	
214	香港	605.700906	149	0	false	0.000000	ns	ns:149	1.000000	hoeng1gong2:149				true	175	false	true	hoeng1gong2	jyut6ping3.words.dict.yaml	proper_name_signal|single_corpus_signal	unreviewed	
