rank	word	cifu_spoken_adult	cifu_jyutping	cifu_definition	cifu_structure	runtime_status	runtime_module	runtime_jyutping	runtime_meta	structural_path
194	緊	175	gan2	tight/strict/close at hand/near/urgent/tense/hard up/short of money/to tighten	⿱臤糸	covered_main	function-words-and-particles.js	gan2	func:progressive_aspect	
195	三	174	saam1|saam3	three/3	⿱一二	covered_main	places-and-times.js	saam1	like:quantity count_value numeral_three	
196	張	174	zoeng1	to open up/to spread/sheet of paper/classifier for flat objects, sheet/classifier for votes/surname Cheung/ten years (used with numbers forty and over) ■七張幾 [chāt jēung géi] over seventy years of age	⿰弓長	covered_main	referents-and-boundaries.js	zoeng1	measure_word:classifier_flat_surface_table	
197	方向	171	fong1hoeng3	direction/orientation/path to follow	⿱亠&CDP-8B6C;:⿵&CDP-8BD6;口	missing				
198	由	171	jau4	to follow/from/it is for...to/reason/cause/because of/due to/to/to leave it (to sb)/by (introduces passive verb)	由	covered_main	function-words-and-particles.js	jau4	where:source_coverb	
199	識	171	sik1	to know/knowledge/to record/write a footnote	⿰言戠	covered_main	function-words-and-particles.js	sik1	func:modal_know_how	
200	第一	170	dai6jat1	first/number one	⿱竹𢎨:一	missing				
201	畫	170	waak6|waa2	draw/picture/painting	⿳&CDP-8BC6;田一	covered_main	verbs.js	waak6	doing:verb action_verb transitive_affordance	
202	鍾意	169	zung1ji3	like	⿰金重:⿱音心	covered_main	verbs.js	zung1 ji3	like:preference_predicate	
203	左邊	168	zo2bin1	left/the left side/to the left of	⿸𠂇工:⿺辶臱	missing				
204	善	167	sin6	good (virtuous)/benevolent/well-disposed/good at sth/to improve or perfect/to kill/to injure	⿱⿱羊䒑口[GJK],⿱⿱𦍌䒑口[TV]	missing				
205	港	167	gong2	harbor/port/CL:個[go]/Hong Kong, abbr. for 香港[hēung góng]	⿰氵巷	missing				
206	繼續	166	gai3zuk6	to continue/to proceed with/to go on with	⿰糹㡭[GTV],⿰糸㡭[JK]:⿰糹賣[GTV],⿰糸𧶠[JK]	missing				
207	地方	165	dei6fong1	region/regional (away from the central administration)	⿰土也:⿱亠&CDP-8B6C;	covered_main	study-suite.js	dei6 fong1	where:place_noun location_np	
208	讀	165	duk6	comma/phrase marked by pause/to read/to study/reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]	⿰言賣[GTV],⿰言𧶠[JK]	covered_main	study-suite.js	duk6	doing:verb reading_pronunciation_verb transitive_verb	
209	地圖	164	dei6tou4	map	⿰土也:⿴囗啚	covered_main	verbs.js	dei6 tou4	what:object_np map_noun	
210	時間	164	si4gaan3	time/period	⿰日寺:⿵門日	covered_main	things.js	si4 gaan3	when:time_np	
211	場	162	coeng4	large place used for a specific purpose/stage/scene (of a play)/classifier for sporting or recreational activities/classifier for number of exams/classifier for events and happenings: spell, episode, bout	⿰土昜	missing				
212	台	161	toi4	(classical) you (in letters)/platform/Taiwan (abbr.)/a surname	⿱厶口	missing				
213	湖	160	wu4	lake	⿰氵胡	missing				
214	番	159	faan1	foreign/ethnic groups from outside China/(when used after a verb) times or fold/classifier for the number of iterations of an action or deed etc	⿱釆田	missing				
215	邊度	159	bin1dou6	where	⿺辶臱:⿸广&CDP-8C46;	covered_main	referents-and-boundaries.js	bin1 dou6	where:wh_place	
216	事	157	si6	matter/thing/item/work/affair	事	covered_main	study-suite.js	si6	what:event_or_matter_noun head_noun	
217	唔見	157	*m4gin3	NO DEF	⿰口吾:⿱目儿	missing				
218	馬戲	157	maa5hei3	circus	⿹&CDP-896A;灬:⿰䖒戈	missing				
219	兜過	157	*dau1gwo3	NO DEF	⿱⿲&CDP-8CBD;白コ儿:⿺辶咼	missing				
220	正	156	zing1|zing3|zeng	first month of the lunar year|just (right)/main/upright/straight/correct/positive/greater than zero/principle|great/terrific	⿱一止,⿱&CDP-87FD;一	surface_covered_sense_uncertain	statives.js	zeng3	like:stative_predicate	
221	個位	156	go3wai6	the units place (or column) in the decimal system	⿰亻固:⿰亻立	missing				
222	比較	155	bei2gaau3	compare/contrast/fairly/comparatively/relatively/quite/rather	比:⿰車交	missing				
223	冇乜	154	*mou5mat1	NO DEF	⿸𠂇冂:乜	missing				
224	朋友	154	pang4jau5	friend	⿰月月:⿸𠂇又	covered_main	people-and-address.js	pang4 jau5	who:person_np	
225	恨	154	han6	to hate/to regret/to desire/to long for	⿰忄艮	missing				
226	紙	154	zi2	paper/CL:張[jēung],沓[daahp]/classifier for documents, letter etc	⿰糹氏[GTV],⿰糸氏[JK]	covered_main	things.js	zi2	what:object_np flat_object_np	
227	點鐘	154	dim2zung1	(indicating time of day) o'clock	⿰黑占:⿰金童	missing				
228	交叉	153	gaau1caa1	cross/intersect	⿱亠父:⿴又丶	missing				
229	死	153	sei2	to die/impassable/uncrossable/inflexible/rigid/extremely/used to stress the meaning of a word or phrase/used to emphasise negative characteristics, "shitty", "damned", "useless"	⿸歹匕,⿱一𡖅	missing				
230	年	152	nin4	year	年	covered_main	function-words-and-particles.js	nin4	when:time_head temporal year_unit	
231	韻	152	wan6	beautiful sound/appeal/charm/vowel/rhyme/in Chinese phonetics, the medial and final sound of a syllable (i.e. excluding the initial consonant)	⿰音員	missing				
232	驚	152	ging1|geng1	to start/to be frightened/to be scared/alarm	⿱敬馬	covered_main	referents-and-boundaries.js	geng1	like:stative_predicate emotion_state_stative	
233	出嚟	151	ceot1lai4	to come out	⿱屮凵:⿰口黎	missing				
234	返去	150	faan1heoi3	NO DEF	⿺辶反:⿱土厶	missing				
235	日	149	jat6	day/sun/date/day of the month/abbr. for Japan	日	covered_main	function-words-and-particles.js	jat6	when:time_head temporal day_noun day_unit	
236	位	149	wai6|wai2	position/location/classifier for people/place/seat/classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)	⿰亻立	covered_main	study-suite.js	wai2	measure_word:classifier_person polite_person_classifier	
237	開心	149	hoi1sam1	to feel happy/to rejoice/to have a great time	⿵門开:心	covered_main	statives.js	hoi1 sam1	like:stative_predicate	
238	廟	149	miu6	temple/monastery	⿸广朝	missing				
239	戀	149	lyun2|lyun5	to feel attached to/long for/love	⿱䜌心	missing				
240	完	147	jyun4	to finish/to be over/whole/complete/entire	⿱宀元	covered_main	function-words-and-particles.js	jyun4	func:completive_result	
241	都會	147	dou1wui5	society/community/city/metropolis	⿰者阝:⿱亼𭥴	missing				
242	右面	146	jau6min6	NO DEF	⿸𠂇口:⿱丆囬	missing				
243	泳池	146	wing6ci4	swimming pond	⿰氵永:⿰氵也	missing				
244	需要	146	seoi1jiu3	to need/to want/to demand/needs/to require	⿱雨而:⿱覀女	missing				
245	左面	145	zo2min6	left side	⿸𠂇工:⿱丆囬	missing				
246	變	145	bin3	to change/to become different/to transform/to vary/rebellion	⿱䜌攵	covered_main	verbs.js	bin3	doing:verb change_verb	
247	成	144	sing4	to succeed/to finish/to complete/to accomplish/to become/to turn into/one tenth|whole/complete/to be all right/OK!	⿵戊𠃌	missing				
248	位置	144	wai6zi3	position/place/seat	⿰亻立:⿱罒直	missing				
249	幾多	144	*gei2|gei1do1	NO DEF	⿹&CDP-8BA4;人:⿱夕夕	handled_structurally				src/parser/detectors/transfer/passive-permissive.js
250	等	143	dang2	class/rank/grade/equal to/same as/to wait for/to await/et cetera/and so on/et al. (and other authors)/after/as soon as/once	⿱竹寺	covered_main	verbs.js	dang2	doing:verb	
251	路	143	lou6	road/CL:條[tìuh]/a trend/a tendency/a way forward (good or bad)/a sexual relationship	⿰𧾷各	handled_structurally				src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js
252	團	143	tyun4	regiment/round/circular/group/society	⿴囗專	missing				
253	機場	143	gei1coeng4	airport/airfield	⿰木幾:⿰土昜	missing				
254	之間	141	zi1gaan1	between/among/inter-	⿱丶&CDP-8661;:⿵門日	missing				
255	食	141	sik6	1. to eat/2. to have sex with/3. to take over, to devour (territory)/4. to deal with, to defeat/5. to get, to receive something negative (e.g. parking ticket, formal complaint, rejection)	⿱人良	covered_main	verbs.js	sik6	doing:verb transitive_affordance chain_select_edible	
256	啱啱	141	ngaam1ngaam1	just now	⿰口岩:⿰口岩	missing				
257	唉	140	aai1|oi1	alas/oh dear/interjection or grunt of agreement or recognition (e.g. yes, it's me!)/to sigh	⿰口矣	missing				
258	梗係	140	gang2hai6	of course	⿰木更:⿰亻系	missing				
259	哎	138	aai1	hey!/interjection used to attract attention or to express surprise or disapprobation	⿰口艾	missing				
260	蛇	138	se4	snake/serpent/CL:條[tìuh]/to shirk one's duty, to be lazy on the job	⿰虫它	missing				
261	枉	136	wong2	in the wrong/in vain	⿰木王	missing				
262	高	133	gou1	high/tall/fig. above average/height/(honorific) your/surname Ko	⿳亠口冋	covered_main	statives.js	gou1	like:stative_predicate height_stative scalar_dimension_predicate	
263	擰	133	ning4|ning6	mistake/to twist/stubborn/to pinch/wring	⿰扌寧	missing				
264	打	132	daa2|daa1	to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/to play (a game)/since/from|dozen	⿰扌丁	covered_main	verbs.js	daa2	doing:verb	
265	丸	131	jyun2|jyun4	pill	⿻九丶[GJ],⿵九丶[TKV]	missing				
266	公園	131	gung1jyun2	public park	⿱八厶:⿴囗袁	covered_main	places-and-times.js	gung1 jyun2	where:place_or_goal	
267	玩	131	wun6|waan2	to play/to have fun/ to have a good time/to not be serious, to be only joking/to play at, to do (e.g. sexual position)/to play games with/to fool with/to treat someone as not important/to be disrespectful/curio or antique	⿰王元	covered_main	verbs.js	waan2	doing:verb	
268	隔離	129	gaak3lei4	to separate/to isolate	⿰阝鬲:⿰离隹	missing				
269	寫	129	se2	to write	⿱宀舄	covered_main	verbs.js	se2	doing:verb write_verb	
270	屋企	128	uk1kei2	house/home	⿸尸至:⿱人止	covered_main	places-and-times.js	uk1 kei2	where:place_or_goal	
271	幫	128	bong1	to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/group/gang/clique/party/secret society	⿱封帛	covered_main	verbs.js	bong1	doing:verb help_benefactive_verb	
272	搞	127	gaau2	to do/to make/to go in for/to set up/to get hold of/to take care of	⿰扌高	missing				
273	葡萄	127	pou4tou4	grape	⿱艹匍:⿱艹匋	missing				
274	往	126	wong5	to go (in a direction)/to/towards/(of a train) bound for/past/previous	⿰彳主	missing				
275	淨係	125	zing6hai6	NO DEF	⿰氵爭:⿰亻系	missing				
276	迷宮	124	mai4gung1	maze/labyrinth	⿺辶米:⿱宀呂	missing				
277	份	123	fan6	part/share/portion/classifier for gifts, newspaper, magazine, papers, reports, contracts etc/copy	⿰亻分	covered_main	places-and-times.js	fan6	measure_word:general_classifier document_task_classifier	
278	底	123	dai2	background/bottom/base/plan, strategy or secret/the end of a period of time/towards the end of (last month)	⿸广氐	missing				
279	宅	122	zaak6	residence	⿱宀乇	missing				
280	次	121	ci3	next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chem., meaning extra oxygen atom)/classifier for enumerated events: time	⿰冫欠[GJ],⿰二欠[TKV]	covered_main	places-and-times.js	ci3	when:time_head temporal	
281	為	121	wai6|wai4	as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/because of/for/to	為	missing				
282	腰	121	jiu1	waist/lower back/pocket/middle	⿰月要[GJK],⿰⺼要[TV]	missing				
283	車站	120	ce1zaam6	rail station/bus stop	車:⿰立占	missing				
284	以前	119	ji5cin4	before/formerly/previous/ago	以:⿱䒑刖	missing				
285	係噉	119	*hai6gam2	NO DEF	⿰亻系:⿰口敢	missing				
286	差唔多	119	caa1m4do1	similar	⿸羊工[G],⿸&CDP-8CCC;工[TJKV]:⿰口吾:⿱夕夕	missing				
287	開	119	hoi1	to open/to start/to turn on/to write out (a medical prescription)/to operate (vehicle)	⿵門开	covered_main	statives.js	hoi1	doing:verb_or_modifier_head	
288	魚排	118	jyu4paai4	fish steak	⿳𠂊田灬:⿰扌非	missing				
289	諗住	118	*nam2zyu6	NO DEF	⿰言念:⿰亻主	covered_main	verbs.js	nam2 zyu6	doing:intention_frame	
290	另外	117	ling6ngoi6	additional/in addition/besides/separate/other/moreover/furthermore	⿱口力:⿰夕卜	missing				
291	科技	117	fo1gei6	science and technology	⿰禾斗:⿰扌支	missing				
292	月	116	jyut6	moon/month	月	covered_main	function-words-and-particles.js	jyut6	when:time_head temporal month_unit	
293	仲	116	zung6	second month of the season/middle/intermediate/2nd in seniority/surname Zhong	⿰亻中	covered_main	study-suite.js	zung6	how:additive_continuative_adverb	
294	問	116	man6	to ask	⿵門口	covered_main	verbs.js	man6	doing:verb	
295	萍	115	ping4	duckweed	⿱艹泙	missing				
296	唔同	114	m4tung4	different	⿰口吾:⿵𠔼口	missing				
297	條線	114	*tiu4sin3	NO DEF	⿰&CDP-8B7A;条[G],⿰&CDP-8B7A;&CDP-8BFB;[TJKV]:⿰糹泉[GT],⿰糸泉[JK]	missing				
298	會見	114	wui6gin3	to meet with (sb who is paying a visit)	⿱亼𭥴:⿱目儿	missing				
299	起點	111	hei2dim2	starting point	⿺走巳[GJK],⿺走己[TV]:⿰黑占	missing				
300	瞓	111	fan3	NO DEF	⿰目訓	covered_main	verbs.js	fan3	doing:verb	
301	賣	111	maai6	to sell	⿱士買	covered_main	verbs.js	maai6	doing:verb	
302	希望	110	hei1mong6	to wish for/to desire/to hope	⿱㐅布:⿱⿰亡月王[GJK],⿱&CDP-8C47;𡈼[TV]	missing				
303	其他	110	kei4taa1	other/the others/else/other than (that person)/in addition to the person mentioned above	⿱&CDP-8B72;八:⿰亻也	covered_main	people-and-address.js	kei4 taa1	func:nominal_modifier determiner_like_modifier modifier	
304	十	109	sap6	ten/10	十	covered_main	places-and-times.js	sap6	how:quantity count_value numeral_ten	
305	南	109	naam4	south	⿱十&CDP-8BDC;	missing				
306	今日	108	gam1jat6	today	⿱亽㇇[G],⿱亼㇇[TJKV]:日	covered_main	places-and-times.js	gam1 jat6	when:temporal_adjunct	
307	吔	108	jaa3	particle	⿰口也	missing				
308	滑雪	108	waat6syut3	to ski/skiing	⿰氵骨:⿱雨彐	missing				
309	新	107	san1	new/newly	⿰亲斤	covered_main	statives.js	san1	like:stative_or_modifier	
310	明白	106	ming4baak6	clear/obvious/unequivocal/to understand/to realize	⿰日月:白	missing				
311	等等	106	dang2dang2	etcetera/and so on ../wait a minute!/hold on!	⿱竹寺:⿱竹寺	missing				
312	中	105	zung1|zung3	China/Chinese/within/among/in/middle/center/while (doing sth)/during|to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)	⿻口丨	covered_main	things.js	zung1	like:modifier_middle	
313	定係	105	ding6hai6	or	⿱宀𤴓:⿰亻系	covered_main	study-suite.js	ding6 hai6	func:alternative_question_connector	
314	電話	105	din6waa2	telephone/phone call	⿱雨&CDP-8BE8;:⿰言舌	covered_main	things.js	din6 waa2	what:object_np	
315	冇錯	104	mou5co3	that's correct	⿸𠂇冂:⿰金昔	missing				
316	原來	104	jyun4loi4	original/former/originally/formerly/at first/so... actually	⿸厂&CDP-8BC4;:⿻木从	covered_main	study-suite.js	jyun4 loi4	func:discourse_marker realization_marker	
317	根本	104	gan1bun2	fundamental/basic/root/simply/absolutely (not)/(not) at all	⿰木艮:本	missing				
318	盛	104	sing6|sing4	flourishing/vigorous/magnificent/extensively/to hold/contain/to ladle/pick up with a utensil/used to indicate a further series of events not specified, "and so on", "etcetera"/a surname	⿱成皿	missing				
319	燕	104	jin3|jin1	Yan, a vassal state of Zhou in modern Hebei and Liaoning/north Hebei/the four Yan kingdoms of the Sixteen Kingdoms, namely: Former Yan 前燕 (337-370), Later Yan 後燕|后燕 (384-409), Southern Yan 南燕 (398-410), Northern Yan 北燕 (409-436)/surname Yan/swallow (a type of bird)	⿳廿&CDP-8D76;灬	missing				
320	大概	103	daai6koi3	roughly/probably/rough/approximate/about	⿻一人:⿰木既	covered_main	function-words-and-particles.js	daai6 koi3	how:approximation_adverb	
321	工廠	102	gung1cong2	factory	工:⿸广敞	missing				
322	同學	102	tung4hok6	(fellow) classmate	⿵𠔼口:⿱𦥯子	missing				
323	快	102	faai3	rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plain-spoken/gratified/pleased/pleasant	⿰忄夬	covered_main	statives.js	faai3	like:stative_predicate	
